;Comun_list.1.n.;Resident_w_list;Workers_list;Autflux_list;Autoff_list;Autdom_list
413;3024;11395,75;13721,07;6558,67;0,575536494;0,477999894
414;3025;2589;1733,03;898;0,346852066;0,518167602
415;3026;1693;1285,06;472;0,278795038;0,367298025
416;3027;652;288,92;192;0,294478528;0,664543818
417;3030;1456;1067,59;441;0,302884615;0,413079928
418;3032;6033;5484,53;2567;0,425493121;0,468043752
419;3036;1256;851,94;494;0,393312102;0,579853041
420;3037;540;263,3;98;0,181481481;0,372199013
421;3039;514;244,23;105;0,204280156;0,429922614
422;3040;822;619,48;226;0,274939173;0,364822109
423;3041;446;163,4;105;0,235426009;0,642594859
424;3042;177;91,63;37;0,209039548;0,403797883
425;3043;5214;4045,4;2143;0,411008822;0,52973748
426;3044;203;106,66;28;0,137931034;0,262516407
427;3045;560;238,94;113;0,201785714;0,472922072
428;3047;666;518,6;177;0,265765766;0,341303509
429;3049;3296;2358,46;1433;0,434769417;0,607599874
430;3051;233;83,17;29;0,124463519;0,34868342
431;3052;699;389,98;146;0,208869814;0,374378173
432;3055;777;609,35;221;0,284427284;0,362681546
433;3058;1373;615,03;299;0,217771304;0,486155147
434;3060;725;334,27;207;0,285517241;0,61925988
435;3062;1256;1305,44;408;0,324840764;0,312538301
436;3065;1065;782,11;391;0,36713615;0,499929677
437;3066;1376;1695,14;511;0,371366279;0,301450028
438;3068;7893;5217,75;3272;0,414544533;0,627090221
439;3069;762;288,79;119;0,156167979;0,41206413
440;3070;1040;595,08;279;0,268269231;0,468844525
441;3071;1814;1795,31;617;0,340132304;0,343673237
442;3073;1729;1387,49;744;0,430306536;0,536220081
443;3076;2834;3942,2;1211;0,427311221;0,307188879
444;3077;786;399,16;217;0,276081425;0,543641647
445;3079;2312;1609,36;925;0,400086505;0,574762639
446;3082;2397;1781,85;853;0,355861494;0,478715941
447;3083;298;440,69;133;0,446308725;0,301799451
448;3084;981;864,14;406;0,413863405;0,469831277
449;3088;921;431,05;259;0,281216069;0,600858369
450;3090;124;13;9;0,072580645;0,692307692
451;3091;812;701,34;224;0,275862069;0,319388599
452;3093;483;272;146;0,302277433;0,536764706
453;3095;1243;628,05;335;0,269509252;0,533397023
454;3097;647;239,79;131;0,202472952;0,546311356
455;3098;320;261,56;73;0,228125;0,279094663
456;3100;1381;1751,55;643;0,465604634;0,367103423
457;3103;905;395,04;228;0,251933702;0,577156744
458;3104;397;148,83;70;0,176322418;0,470335282
459;3106;52508,36;63783,45;38709,28;0,737202228;0,606885956
460;3108;7215;5245,67;3260;0,451836452;0,621464942
461;3109;1039;865,03;235;0,226179018;0,271666879
462;3112;498;733,25;239;0,479919679;0,32594613
463;3114;1192;1537,71;337;0,282718121;0,219157058
464;3115;524;571,9;192;0,366412214;0,335723029
465;3116;751;336,04;199;0,264980027;0,592191406
466;3119;388;265,07;91;0,234536082;0,343305542
467;3120;853;1164,2;441;0,516998828;0,378800893
468;3121;1211;983,84;371;0,306358382;0,377093836
469;3122;1073;1167,62;315;0,293569432;0,269779552
470;3129;447;163,01;87;0,194630872;0,533709588
471;3130;2016;2901,38;986;0,489087302;0,339838284
472;3131;3040;2743,11;1234;0,405921053;0,449854362
473;3133;1815;2737,71;1096;0,603856749;0,400334586
474;3134;320;97,94;57;0,178125;0,581988973
475;3135;1157;2821,39;432;0,37337943;0,153116017
476;3138;318;171,26;67;0,210691824;0,391218031
477;3139;766;407,34;244;0,318537859;0,5990082
478;3140;408;128,87;63;0,154411765;0,488864747
479;3141;548;312,6;125;0,22810219;0,399872041
480;3143;1435;1177,04;519;0,361672474;0,440936587
481;3144;253;63,22;30;0,118577075;0,474533376
482;3146;427;199,13;84;0,196721311;0,421834982
483;3149;10896;6683,01;4520;0,414831131;0,676341948
484;3153;496;307,07;92;0,185483871;0,299605953
485;3154;2636;2157,15;1035;0,392640364;0,479799736
486;3157;1019;902,78;291;0,285574092;0,322337668
487;3158;1019;555,69;311;0,305201178;0,559664561
488;3159;486;1062,33;147;0,302469136;0,138375081
489;3164;286;88,77;41;0,143356643;0,461867748
490;4001;58;41;34;0,586206897;0,829268293
491;4002;96;51,89;21;0,21875;0,404702255
492;4003;16402,16;28651,73;12116,48;0,738712462;0,422888251
493;4004;129;61;23;0,178294574;0,37704918
